control_code,ce_name,no,text
4.3.1.1,Strategy,1,Reflects the mission and vision of the organisation
4.3.1.1,Strategy,2,"Aligns the project goals with the mission, vision and strategy by using diagnostic control management systems (top-down approach and pre-set goals)"
4.3.1.1,Strategy,3,"Controls whether the project’s objectives and benefits are in sync with the mission, vision and strategy"
4.3.1.1,Strategy,4,"Develops and implements measures of strategic alignment (e.g. critical success factors, key performance indicators, etc)"
4.3.1.1,Strategy,5,Checks whether the project is delivering benefits to the organisation
4.3.1.2,Strategy,1,Knows the strategy-making process
4.3.1.2,Strategy,2,Identifies new risks and opportunities which could alter the strategy
4.3.1.2,Strategy,3,Engages co-workers in questioning the organisational strategy by implementing interactive control management systems (bottom-up approach and stretch goals)
4.3.1.2,Strategy,4,Identifies strategic improvements
4.3.1.2,Strategy,5,Influences the strategy-making process by suggesting changes to strategy
4.3.1.3,Strategy,1,Reflects and defines the business and/or organisational justification
4.3.1.3,Strategy,2,Identifies objectives needed in a project to generate the planned benefits
4.3.1.3,Strategy,3,Validates and sells the business and/or organisation justification to the sponsors and/or owners of the projects
4.3.1.3,Strategy,4,Re-assesses and validates the justification within the higher context
4.3.1.3,Strategy,5,Defines and manages the project configuration (the integral completeness and functionality of the project organisation)
4.3.1.3,Strategy,6,Applies benefits realisation management to check whether the project configuration is generating the desired results
4.3.1.3,Strategy,7,Scans to determine whether there is a need to terminate the project because of redundancy or obsolete strategic importance and change the configuration
4.3.1.4,Strategy,1,Derives and/or develops a set of critical success factors (CSFs) for the strategic objectives
4.3.1.4,Strategy,2,"Uses formal CSFs for strategic alignment, but also identifies their informal context"
4.3.1.4,Strategy,3,Involves subordinates to question the organisation strategy while developing CSFs (interactive management control – stretch goals)
4.3.1.4,Strategy,4,Uses the CSFs for strategic alignment of or within a project
4.3.1.4,Strategy,5,Uses the CSFs for managing stakeholders
4.3.1.4,Strategy,6,Uses the CSFs for developing incentives/rewards and a motivated culture
4.3.1.4,Strategy,7,Re-assesses CSF realisation within the higher strategic context
4.3.1.5,Strategy,1,Derives and/or develops a KPI (or set of KPIs) for each critical success factor
4.3.1.5,Strategy,2,"Decides on the use of leading, lagging and real-time measures when developing KPIs"
4.3.1.5,Strategy,3,Uses KPIs for managing strategic performance
4.3.1.5,Strategy,4,Uses KPIs to influence stakeholders
4.3.1.5,Strategy,5,Uses KPIs for developing personal development plans
4.3.1.5,Strategy,6,Uses KPIs for developing an incentive/reward system
4.3.1.5,Strategy,7,Re-assesses project configuration by employing KPIs and performing benefits realisation management
4.3.2.1,"Governance, structures and processes",1,Recognises a project in practice and has a knowledge of project management principles
4.3.2.1,"Governance, structures and processes",2,"Explains characteristics of a functional, project and matrix oriented organisation and recognises one in practice"
4.3.2.1,"Governance, structures and processes",3,Explains and practises the concept of management by projects
4.3.2.1,"Governance, structures and processes",4,Perceives and sets up management by projects concepts within the organisation
4.3.2.1,"Governance, structures and processes",5,Explains and identifies the current maturity level of an organisation
4.3.2.2,"Governance, structures and processes",1,"Explains characteristics of a programme (goals, inputs, outputs, outcomes, benefits)"
4.3.2.2,"Governance, structures and processes",2,Explains the concept of programme management
4.3.2.3,"Governance, structures and processes",1,Explains characteristics of a portfolio – critical success factors (CSFs) and key performance indicators (KPIs)
4.3.2.3,"Governance, structures and processes",2,Knows the concept of managing a portfolio (organisational structures and processes)
4.3.2.3,"Governance, structures and processes",3,Successfully communicates within a respective portfolio in order to successfully manage a project
4.3.2.4,"Governance, structures and processes",1,"Knows people, processes and services of supporting functions"
4.3.2.4,"Governance, structures and processes",2,Uses the project supporting function of the parent organisation for efficient support of the project
4.3.2.4,"Governance, structures and processes",3,Establishes and maintains relationships with the project supporting function
4.3.2.4,"Governance, structures and processes",4,"Applies the reporting standards of the parent organisation to the project, using specific tools and methods"
4.3.2.5,"Governance, structures and processes",1,Identifies the organisation’s routine and special rules for decision-making in cases beyond his or her authority and responsibility
4.3.2.5,"Governance, structures and processes",2,Aligns the communication in projects with the needs of the permanent organisation
4.3.2.5,"Governance, structures and processes",3,"Applies the reporting standards of the parent organisation to the project, using specific tools and methods"
4.3.2.5,"Governance, structures and processes",4,Applies the organisation’s way of quality assurance when setting up a reporting system within the permanent organisation
4.3.2.6,"Governance, structures and processes",1,Uses the human resource function for acquiring staff with the required authorities
4.3.2.6,"Governance, structures and processes",2,Deals with the boundaries between the temporary organisation and the human resource function
4.3.2.6,"Governance, structures and processes",3,Establishes and maintains relationships with the human resource function
4.3.2.6,"Governance, structures and processes",4,Uses human resource processes to provide training and individual development
4.3.2.7,"Governance, structures and processes",1,Knows the processes of the finance and control function
4.3.2.7,"Governance, structures and processes",2,Distinguishes between the compulsory and optional utilities of the finance and control function
4.3.2.7,"Governance, structures and processes",3,"Monitors and controls whether rules, guidelines and other financial utilities are effectively and efficiently used in projects to the benefit of the project"
4.3.2.7,"Governance, structures and processes",4,Communicates and reports the status and trends of financial tasks clearly and objectively
4.3.3.1,"Compliance, standards and regulations",1,Acknowledges the legal context and its applications
4.3.3.1,"Compliance, standards and regulations",2,Filters out and uses the relevant law regulation
4.3.3.1,"Compliance, standards and regulations",3,Identifies risks in the regulations in relation to the project and consults the experts
4.3.3.1,"Compliance, standards and regulations",4,Acknowledges and manages the regulatory agencies as stakeholders
4.3.3.1,"Compliance, standards and regulations",5,Aligns procurement routes with the regulations
4.3.3.2,"Compliance, standards and regulations",1,Identifies the relevant HSSE regulations for the project
4.3.3.2,"Compliance, standards and regulations",2,Defines the HSSE context for the project
4.3.3.2,"Compliance, standards and regulations",3,Identifies risks arising from implementing HSSE measures to the project
4.3.3.2,"Compliance, standards and regulations",4,"Provides a safe, secure and healthy environment for the project team members"
4.3.3.2,"Compliance, standards and regulations",5,Applies HSSE for project sustainability
4.3.3.3,"Compliance, standards and regulations",1,Knows the appropriate codes of business conduct
4.3.3.3,"Compliance, standards and regulations",2,"Knows the appropriate professional regulation for the particular industry sector (public administration, civil engineering, information technology, telecommunication, etc)"
4.3.3.3,"Compliance, standards and regulations",3,Identifies ethics principles
4.3.3.3,"Compliance, standards and regulations",4,Identifies and uses the tacit trading laws not set by the code
4.3.3.3,"Compliance, standards and regulations",5,Aligns procurement practices with the codes of business conduct
4.3.3.3,"Compliance, standards and regulations",6,Works to prevent violation of the code by the project team members
4.3.3.4,"Compliance, standards and regulations",1,Identifies the social and environmental consequences of the project
4.3.3.4,"Compliance, standards and regulations",2,Defines and communicates the sustainability targets for the project and its outcomes
4.3.3.4,"Compliance, standards and regulations",3,Aligns objectives with organisational strategy for sustainability
4.3.3.4,"Compliance, standards and regulations",4,"Balances the demands of society, the environment and the economy (people, planet, profit) with project processes and products"
4.3.3.4,"Compliance, standards and regulations",5,Encourages the development and diffusion of environmentally friendly technologies
4.3.3.5,"Compliance, standards and regulations",1,Identifies and uses the relevant professional standards
4.3.3.5,"Compliance, standards and regulations",2,Identifies the specifics of a standard and manages the risks arising from applying a standard to a project
4.3.3.5,"Compliance, standards and regulations",3,Identifies and uses the best practice for managing a project
4.3.3.5,"Compliance, standards and regulations",4,Develops and implements custom made standards for managing project team members
4.3.3.6,"Compliance, standards and regulations",1,Identifies and assesses the relevant deficient areas of organisational competence in project management
4.3.3.6,"Compliance, standards and regulations",2,Identifies and sets relevant benchmarks for the deficient areas
4.3.3.6,"Compliance, standards and regulations",3,Identifies the benchmarking baseline and best practice
4.3.3.6,"Compliance, standards and regulations",4,Benchmarks current performance against the best practice
4.3.3.6,"Compliance, standards and regulations",5,Identifies measures for the needed improvements
4.3.3.6,"Compliance, standards and regulations",6,Implements the identified measures and assesses the benefits gained
4.3.3.6,"Compliance, standards and regulations",7,Disseminates the acquired know-how throughout the project organisation
4.3.4.1,Power and interest,1,Acknowledges and assesses the personal ambitions and interests of relevant people or groups
4.3.4.1,Power and interest,2,Acknowledges and assesses the differences between personal and organisational interests and goals
4.3.4.2,Power and interest,1,"Acknowledges and can estimate the influence, power and reach of certain individuals in various settings"
4.3.4.2,Power and interest,2,Is able to discern group affiliations and relationships in relation to the project
4.3.4.3,Power and interest,1,Identifies and acknowledges the differences between behavioural style and personality
4.3.4.3,Power and interest,2,Identifies and acknowledges the differences between cultural aspects and personality
4.3.5.1,Culture and values,1,"Knows and acknowledges the cultural values, norms and demands of a society"
